Project,Asset ID,Suggested filename,Type,Width x Height (px),Format,Max size,Duration/Notes,Description,Status
Forest Castle,castillo-bosque/detail-2,assets/img/castillo-bosque/detail-2.webp,image,1200 x 1500,webp,180 KB,,Foreground tree/rock frame,Pending
Forest Castle,castillo-bosque/detail-3,assets/img/castillo-bosque/detail-3.webp,image,1200 x 1500,webp,180 KB,,Valley &amp; mountain backdrop,Pending
Forest Castle,castillo-bosque/detail-front,assets/img/castillo-bosque/detail-front.webp,image,1200 x 1500,webp,180 KB,,"Frontal view, closer",Pending
Forest Castle,castillo-bosque/final,assets/img/castillo-bosque/final.webp,image,1920 x 1080,webp,200 KB,,Final render,Pending
Forest Castle,castillo-bosque/hero,assets/img/castillo-bosque/hero.webp,image,2400 x 1350,webp,320 KB,,Final render — full composition,Pending
Medieval Street Castle,castillo-calle-medieval/assembly-video,assets/img/castillo-calle-medieval/assembly-video.mp4,video,1920 x 1080,mp4 (H.264),4.0 MB,"~6-10s, muted loop",Two-stage assembly loop,Pending
Medieval Street Castle,castillo-calle-medieval/hero,assets/img/castillo-calle-medieval/hero.webp,image,2400 x 1350,webp,320 KB,,Final render — castle assembled in the medieval street,Pending
Medieval Street Castle,castillo-calle-medieval/kit-base-1,assets/img/castillo-calle-medieval/kit-base-1.webp,image,800 x 800,webp,70 KB,,Base variant A,Pending
Medieval Street Castle,castillo-calle-medieval/kit-base-2,assets/img/castillo-calle-medieval/kit-base-2.webp,image,800 x 800,webp,70 KB,,Base variant B,Pending
Medieval Street Castle,castillo-calle-medieval/kit-door-1,assets/img/castillo-calle-medieval/kit-door-1.webp,image,800 x 800,webp,70 KB,,Door A,Pending
Medieval Street Castle,castillo-calle-medieval/kit-door-2,assets/img/castillo-calle-medieval/kit-door-2.webp,image,800 x 800,webp,70 KB,,Door B,Pending
Medieval Street Castle,castillo-calle-medieval/kit-tower-mid-1,assets/img/castillo-calle-medieval/kit-tower-mid-1.webp,image,800 x 800,webp,70 KB,,Tower mid A,Pending
Medieval Street Castle,castillo-calle-medieval/kit-tower-mid-2,assets/img/castillo-calle-medieval/kit-tower-mid-2.webp,image,800 x 800,webp,70 KB,,Tower mid B,Pending
Medieval Street Castle,castillo-calle-medieval/kit-tower-mid-3,assets/img/castillo-calle-medieval/kit-tower-mid-3.webp,image,800 x 800,webp,70 KB,,Tower mid C,Pending
Medieval Street Castle,castillo-calle-medieval/kit-tower-top-1,assets/img/castillo-calle-medieval/kit-tower-top-1.webp,image,800 x 800,webp,70 KB,,Tower top A,Pending
Medieval Street Castle,castillo-calle-medieval/kit-tower-top-2,assets/img/castillo-calle-medieval/kit-tower-top-2.webp,image,800 x 800,webp,70 KB,,Tower top B,Pending
Medieval Street Castle,castillo-calle-medieval/kit-tower-top-3,assets/img/castillo-calle-medieval/kit-tower-top-3.webp,image,800 x 800,webp,70 KB,,Tower top C,Pending
Medieval Street Castle,castillo-calle-medieval/kit-tower-top-4,assets/img/castillo-calle-medieval/kit-tower-top-4.webp,image,800 x 800,webp,70 KB,,Tower top D,Pending
Medieval Street Castle,castillo-calle-medieval/kit-tower-top-5,assets/img/castillo-calle-medieval/kit-tower-top-5.webp,image,800 x 800,webp,70 KB,,Tower top E,Pending
Medieval Street Castle,castillo-calle-medieval/kit-wall,assets/img/castillo-calle-medieval/kit-wall.webp,image,800 x 800,webp,70 KB,,Wall segment,Pending
Medieval Street Castle,castillo-calle-medieval/kit-window-1,assets/img/castillo-calle-medieval/kit-window-1.webp,image,800 x 800,webp,70 KB,,Window block A,Pending
Medieval Street Castle,castillo-calle-medieval/kit-window-2,assets/img/castillo-calle-medieval/kit-window-2.webp,image,800 x 800,webp,70 KB,,Window block B,Pending
Medieval Street Castle,castillo-calle-medieval/reconfig-video,assets/img/castillo-calle-medieval/reconfig-video.mp4,video,1920 x 1080,mp4 (H.264),4.0 MB,"~6-10s, muted loop",Short clip — 2-3 kit reconfigurations,Pending
Goblin,goblin/commercial-video,assets/img/goblin/commercial-video.mp4,video,1920 x 1080,mp4 (H.264),15.0 MB,"full length, with audio",Final piece / aired,Delivered
Goblin,goblin/hero,assets/img/goblin/hero.webp,image,2400 x 1350,webp,320 KB,,"Best clean render — dynamic pose, no background",Delivered
Goblin,goblin/pose-1,assets/img/goblin/pose-1.webp,image,1200 x 1600,webp,180 KB,,Dynamic pose 1,Delivered
Goblin,goblin/pose-2,assets/img/goblin/pose-2.webp,image,1200 x 1600,webp,180 KB,,Dynamic pose 2,Delivered
Goblin,goblin/pose-3,assets/img/goblin/pose-3.webp,image,1200 x 1600,webp,180 KB,,Dynamic pose 3,Delivered
Goblin,goblin/turntable-video,assets/img/goblin/turntable-video.mp4,video,1200 x 1600,mp4 (H.264),4.0 MB,"~6-10s, muted loop",360° turntable,Delivered
Gum House,gum-house/assembly-video,assets/img/gum-house/assembly-video.mp4,video,1920 x 1080,mp4 (H.264),4.8 MB,"15s, muted loop",Layer assembly loop,Delivered
Gum House,gum-house/clay,assets/img/gum-house/clay.webp,image,1920 x 1080,webp,200 KB,,Clay pass,Delivered
Gum House,gum-house/detail-props,assets/img/gum-house/detail-props.webp,image,1920 x 1080,webp,200 KB,,Props &amp; plants corner,Delivered
Gum House,gum-house/detail-roof,assets/img/gum-house/detail-roof.webp,image,1920 x 1080,webp,200 KB,,Roof cap — candy topping,Delivered
Gum House,gum-house/detail-water,assets/img/gum-house/detail-water.webp,image,1920 x 1080,webp,200 KB,,Water / waterfall zone,Delivered
Gum House,gum-house/final,assets/img/gum-house/final.webp,image,1920 x 1080,webp,200 KB,,Final render,Delivered
Gum House,gum-house/hero,assets/img/gum-house/hero.webp,image,2400 x 1350,webp,320 KB,,Final render — Gum House,Delivered
Site-wide,home/showreel-bg,assets/img/home/showreel.mp4,video,1920 x 1080,mp4 (H.264),5.7 MB,"muted loop","Background showreel — muted, looping cut of every project",Delivered
Can Anybody Hear Me?,izumi/ai-expr-1,assets/img/izumi/ai-expr-1.webp,image,1080 x 1080,webp,120 KB,,Expression study 1,Delivered
Can Anybody Hear Me?,izumi/ai-expr-2,assets/img/izumi/ai-expr-2.webp,image,1080 x 1080,webp,120 KB,,Expression study 2,Delivered
Can Anybody Hear Me?,izumi/ai-expr-3,assets/img/izumi/ai-expr-3.webp,image,1080 x 1080,webp,120 KB,,Expression study 3,Delivered
Can Anybody Hear Me?,izumi/hero,assets/img/izumi/hero.webp,image,2400 x 1350,webp,320 KB,,Full-bleed page hero — Izumi in her room,Delivered
Can Anybody Hear Me?,izumi/ai-poster,assets/img/izumi/ai-poster.webp,image,896 x 1200,webp,180 KB,,Character poster — next to the turntable,Delivered
Can Anybody Hear Me?,izumi/panel-full,assets/img/izumi/panel-full.webp,image,1200 x 1600,webp,180 KB,,Full body — relaxed pose,Delivered
Can Anybody Hear Me?,izumi/panel-medium,assets/img/izumi/panel-medium.webp,image,1200 x 1600,webp,180 KB,,Medium shot — shoulders up,Delivered
Can Anybody Hear Me?,izumi/turntable-video,assets/img/izumi/turntablevideo.mp4,video,1200 x 1600,mp4 (H.264),4.0 MB,"10s, muted loop — recompressed to 4.77 MB, close to budget",360° turntable — clay → textured,Delivered
Kosmo,kosmo/animation-video,assets/img/kosmo/animation-video.mp4,video,1920 x 1080,mp4 (H.264),3.9 MB,"muted loop",Product animation,Delivered
Kosmo,kosmo/context-hand,assets/img/kosmo/ai-render-01.webp,image,1920 x 1080,webp,485 KB,,In hand,Delivered
Kosmo,kosmo/context-museum,assets/img/kosmo/ai-render-04.webp,image,1920 x 1080,webp,231 KB,,Scanning a museum,Delivered
Kosmo,kosmo/version-cosmic,assets/img/kosmo/ai-render-02.webp,image,1920 x 1080,webp,253 KB,,Device version exploration — cosmic point-cloud finish,Delivered
Kosmo,kosmo/version-glass,assets/img/kosmo/ai-render-03.webp,image,1920 x 1080,webp,190 KB,,Device version exploration — glass finish,Delivered
Kosmo,kosmo/hero,assets/img/kosmo/hero.webp,image,2400 x 1350,webp,320 KB,,Cinematic product render,Delivered
Kosmo,kosmo/preview,assets/img/kosmo/frame-hero.webp,image,2400 x 1350,webp,320 KB,,Card thumbnail — used on Home/Work/Related cards,Delivered
Kosmo,kosmo/render-1,assets/img/kosmo/kosmo-product-01.webp,image,3840 x 2160,webp,320 KB,,Render 1,Delivered
Kosmo,kosmo/render-2,assets/img/kosmo/kosmo-product-02.webp,image,3840 x 2160,webp,320 KB,,Render 2,Delivered
Kosmo,kosmo/render-3,assets/img/kosmo/kosmo-product-03.webp,image,3840 x 2160,webp,320 KB,,Render 3,Delivered
Site-wide,logo/after-effects,assets/img/logo/after-effects.svg,image,200 x 200,svg (preferred) / png,20 KB,,,Delivered
Site-wide,logo/blender,assets/img/logo/blender.svg,image,200 x 200,svg (preferred) / png,20 KB,,,Delivered
Site-wide,logo/gaea,assets/img/logo/gaea.svg,image,200 x 200,svg (preferred) / png,20 KB,,,Delivered
Site-wide,logo/geoscatter,assets/img/logo/geoscatter.svg,image,200 x 200,svg (preferred) / png,20 KB,,,Delivered
Site-wide,logo/marmoset,assets/img/logo/marmoset.svg,image,200 x 200,svg (preferred) / png,20 KB,,,Delivered
Site-wide,logo/photoshop,assets/img/logo/photoshop.svg,image,200 x 200,svg (preferred) / png,20 KB,,,Delivered
Site-wide,logo/substance-painter,assets/img/logo/substance-painter.svg,image,200 x 200,svg (preferred) / png,20 KB,,,Delivered
Site-wide,logo/unity,assets/img/logo/unity.svg,image,200 x 200,svg (preferred) / png,20 KB,,,Delivered
Site-wide,logo/weave,assets/img/logo/weave.svg,image,200 x 200,svg (preferred) / png,20 KB,,,Delivered
Site-wide,logo/zbrush,assets/img/logo/zbrush.svg,image,200 x 200,svg (preferred) / png,20 KB,,,Delivered
Can Anybody Hear Me?,mini-izumi/ai-expr-1,assets/img/mini-izumi/ai-expr-1.webp,image,1080 x 1080,webp,120 KB,,Expression study 1,Delivered
Can Anybody Hear Me?,mini-izumi/ai-expr-2,assets/img/mini-izumi/ai-expr-2.webp,image,1080 x 1080,webp,120 KB,,Expression study 2,Delivered
Can Anybody Hear Me?,mini-izumi/ai-expr-3,assets/img/mini-izumi/ai-expr-3.webp,image,1080 x 1080,webp,120 KB,,Expression study 3,Delivered
Can Anybody Hear Me?,mini-izumi/ai-poster,assets/img/mini-izumi/ai-poster.webp,image,896 x 1200,webp,180 KB,,Character poster — next to the turntable,Delivered
Can Anybody Hear Me?,mini-izumi/panel-bike,assets/img/mini-izumi/panel-bike.webp,image,1200 x 1600,webp,180 KB,,Full body — on bicycle,Delivered
Can Anybody Hear Me?,mini-izumi/panel-detail,assets/img/mini-izumi/panel-detail.webp,image,1200 x 1600,webp,180 KB,,Detail shot,Delivered
Can Anybody Hear Me?,mini-izumi/turntable-video,assets/img/mini-izumi/turntablevideo.mp4,video,1200 x 1600,mp4 (H.264),4.0 MB,"10s, muted loop — delivered at 4.83 MB, slightly over budget",360° turntable — clay → textured,Delivered
Natilus,natilus/render-1,assets/img/natilus/render-01.webp,image,1920 x 1072,webp,293 KB,,Aircraft integrated — AI environment 1,Delivered
Natilus,natilus/render-2,assets/img/natilus/render-02.webp,image,1920 x 1080,webp,381 KB,,Aircraft integrated — AI environment 2,Delivered
Natilus,natilus/render-3,assets/img/natilus/render-03.webp,image,1920 x 1072,webp,171 KB,,Aircraft integrated — AI environment 3,Delivered
Natilus,natilus/render-4,assets/img/natilus/render-04.webp,image,1920 x 1072,webp,138 KB,,Aircraft integrated — AI environment 4,Delivered
Natilus,natilus/render-5,assets/img/natilus/render-05.webp,image,1920 x 1072,webp,127 KB,,Aircraft integrated — AI environment 5,Delivered
Natilus,natilus/render-6,assets/img/natilus/render-06.webp,image,1920 x 1080,webp,220 KB,,Aircraft integrated — AI environment 6,Delivered
Natilus,natilus/airport-final,assets/img/natilus/airport-final.webp,image,1920 x 1080,webp,384 KB,,Final composite — Photoshop photomontage,Delivered
Natilus,natilus/airport-assembly,assets/img/natilus/airport-assembly.mp4,video,1920 x 1080,mp4 (H.264),2.2 MB,"muted loop",Compositing process — Futuristic Airport,Delivered
Natilus,natilus/hangar-final,assets/img/natilus/hangar-final.webp,image,1920 x 1080,webp,341 KB,,Final render — Hangar,Delivered
Natilus,natilus/hangar-assembly,assets/img/natilus/hangar-assembly.mp4,video,1920 x 1080,mp4 (H.264),4.2 MB,"muted loop",Clay pass to final scene — pieces falling into place,Delivered
Natilus,natilus/hero,assets/img/natilus/hero.webp,image,2400 x 1350,webp,320 KB,,Futuristic Airport — hero composite,Delivered
Natilus,natilus/preview,assets/img/natilus/preview.webp,image,2400 x 1350,webp,320 KB,,Card thumbnail — used on Home/Work/Related cards,Delivered
Orange Train Station,orange-train-station/assembly-video,assets/img/orange-train-station/assembly-video.mp4,video,1500 x 1956,mp4 (H.264),4.9 MB,"11s, muted loop — portrait, not 16:9 like other assembly videos",Layer assembly loop,Delivered
Orange Train Station,orange-train-station/clay,assets/img/orange-train-station/clay.webp,image,1500 x 1956,webp,200 KB,,Clay pass,Delivered
Orange Train Station,orange-train-station/detail-1,assets/img/orange-train-station/detail-1.webp,image,1500 x 1956,webp,180 KB,,Station platform detail,Delivered
Orange Train Station,orange-train-station/detail-2,assets/img/orange-train-station/detail-2.webp,image,1500 x 1956,webp,180 KB,,Grease Pencil linework close-up,Delivered
Orange Train Station,orange-train-station/detail-3,assets/img/orange-train-station/detail-3.webp,image,1500 x 1956,webp,180 KB,,Signage / props detail,Delivered
Orange Train Station,orange-train-station/detail-4,assets/img/orange-train-station/detail-4.webp,image,1500 x 1956,webp,180 KB,,Fourth detail shot,Delivered
Orange Train Station,orange-train-station/final,assets/img/orange-train-station/final.webp,image,1500 x 1956,webp,200 KB,,Final render,Delivered
Orange Train Station,orange-train-station/hero,assets/img/orange-train-station/hero.webp,image,2400 x 1350,webp,320 KB,,Final render — Orange Train Station,Delivered
Snow Base,snow-base/assembly-video,assets/img/snow-base/assembly-video.mp4,video,1920 x 1080,mp4 (H.264),4.9 MB,"12s, muted loop",Layer assembly loop,Delivered
Snow Base,snow-base/clay,assets/img/snow-base/clay.webp,image,1920 x 1080,webp,200 KB,,Clay pass,Delivered
Snow Base,snow-base/detail-1,assets/img/snow-base/detail-1.webp,image,1920 x 1080,webp,200 KB,,Mountain ridge detail,Delivered
Snow Base,snow-base/detail-2,assets/img/snow-base/detail-2.webp,image,1920 x 1080,webp,200 KB,,Base structure detail,Delivered
Snow Base,snow-base/detail-3,assets/img/snow-base/detail-3.webp,image,1920 x 1080,webp,200 KB,,Snowfall post-production,Delivered
Snow Base,snow-base/final,assets/img/snow-base/final.webp,image,1920 x 1080,webp,200 KB,,Final render,Delivered
Snow Base,snow-base/hero,assets/img/snow-base/hero.webp,image,2400 x 1350,webp,320 KB,,Final render — Snow Base,Delivered
Teradar,teradar/hero,assets/img/teradar/hero.webp,image,2400 x 1350,webp,320 KB,,Product render,Delivered
Teradar,teradar/preview,assets/img/teradar/preview.webp,image,2400 x 1350,webp,320 KB,,Card thumbnail — used on Home/Work/Related cards,Delivered
Teradar,teradar/pointcloud-morph,assets/img/teradar/pointcloud-morph.mp4,video,2048 x 2048,mp4 (H.264),3.0 MB,"~10.4s, muted loop",Organic sphere — point-cloud morph animation,Delivered
Teradar,teradar/pointcloud-0,assets/img/teradar/pointcloud-0.webp,image,1302 x 1080,webp,220 KB,,Organic sphere — point cloud base (shown next to the morph video),Delivered
Teradar,teradar/pointcloud-1,assets/img/teradar/pointcloud-1.webp,image,1920 x 1080,webp,209 KB,,Point cloud applied — rainy crossing,Delivered
Teradar,teradar/pointcloud-2,assets/img/teradar/pointcloud-2.webp,image,1920 x 1072,webp,290 KB,,Point cloud applied — city street,Delivered
Teradar,teradar/pointcloud-3,assets/img/teradar/pointcloud-3.webp,image,1920 x 1080,webp,146 KB,,Point cloud applied — night highway HUD,Delivered
Teradar,teradar/pointcloud-4,assets/img/teradar/pointcloud-4.webp,image,1920 x 1072,webp,245 KB,,Point cloud applied — mountain road,Delivered
Teradar,teradar/pointcloud-5,assets/img/teradar/pointcloud-5.webp,image,1920 x 1072,webp,245 KB,,Point cloud applied — snowstorm,Delivered
Teradar,teradar/product-1,assets/img/teradar/product-1.webp,image,1920 x 1080,webp,72 KB,,Device render — exploded view,Delivered
Teradar,teradar/product-2,assets/img/teradar/product-2.webp,image,1920 x 1080,webp,96 KB,,Device render — top view,Delivered
Teradar,teradar/product-3,assets/img/teradar/product-3.webp,image,1920 x 1080,webp,164 KB,,Device render — chip detail,Delivered
Teradar,teradar/product-4,assets/img/teradar/product-4.webp,image,1920 x 1080,webp,47 KB,,Device render — lit front view,Delivered
Site-wide,logo/nuke,assets/img/logo/nuke.svg,image,"200 x 200",svg (preferred) / png,20 KB,,,Delivered
Natilus,natilus/logo,assets/img/natilus/natilus-logo.webp,image,200 x 200,webp,1.3 KB,,Natilus client logo — shown in the sidebar,Delivered
Natilus,natilus/logo-gga,assets/img/teradar/gga_logo.webp,image,200 x 200,webp,1.1 KB,,"Global Grid Agency studio logo — reused from Teradar's asset",Delivered
Teradar,teradar/logo,assets/img/teradar/teradar-logo.webp,image,200 x 200,webp,1 KB,,Teradar client logo — shown in the sidebar,Delivered
Teradar,teradar/logo-gga,assets/img/teradar/gga_logo.webp,image,200 x 200,webp,1.1 KB,,Global Grid Agency studio logo — shown in the sidebar,Delivered
Kosmo,kosmo/logo,assets/img/kosmo/kosmo-logo.webp,image,200 x 200,webp,3.5 KB,,Kosmo client logo — shown in the sidebar,Delivered
Kosmo,kosmo/logo-gga,assets/img/teradar/gga_logo.webp,image,200 x 200,webp,1.1 KB,,"Global Grid Agency studio logo — reused from Teradar's asset",Delivered
Bubbles and Friends — Cast,bubbles-characters/logo-bubbles,assets/img/bubbles-characters/logo-bubbles.webp,image,200 x 200,webp (transparent bg preferred),30 KB,,"Bubbles and Friends show logo — shown in the sidebar (same art as bubbles-environments/logo)",Delivered
Bubbles and Friends — Cast,bubbles-characters/logo-bombillo,assets/img/goblin/logo_bombillo.webp,image,200 x 200,webp (transparent bg preferred),30 KB,,"Bombillo Amarillo studio logo — sidebar (reused from Goblin's asset)",Delivered
Bubbles and Friends — Sets,bubbles-environments/logo,assets/img/bubbles-characters/logo-bubbles.webp,image,200 x 200,webp (transparent bg preferred),30 KB,,"Bubbles and Friends show logo — reused from bubbles-characters/logo-bubbles",Delivered
Bubbles and Friends — Sets,bubbles-environments/logo-bombillo,assets/img/goblin/logo_bombillo.webp,image,200 x 200,webp (transparent bg preferred),30 KB,,"Bombillo Amarillo studio logo — reused from Goblin's asset",Delivered
Goblin,goblin/logo-bombillo,assets/img/goblin/logo_bombillo.webp,image,200 x 200,webp (transparent bg preferred),30 KB,,Bombillo Amarillo studio logo — sidebar,Delivered
Goblin,goblin/logo-doradobet,assets/img/goblin/logo-doradobet.webp,image,200 x 200,webp (transparent bg preferred),30 KB,,Dorado Bet client logo — sidebar,Delivered
Peer and Family,peer-and-family/hero,assets/img/peer-and-family/hero.jpg,image,2400 x 1352,jpg (optimized from delivered PNG),329 KB,,"Hero — 3-panel collage (page hero only; cards use card.jpg)",Delivered
Motion & Animation,motion-animation/hero,assets/img/motion-animation/hero.jpg,image,2400 x 1352,jpg (optimized from delivered PNG),312 KB,,"Hero — Vigor Peptides 3-panel collage (page hero only; cards use card.jpg)",Delivered
Peer and Family,peer-and-family/beer,assets/img/peer-and-family/beer.mp4,video,2048 x 2048,mp4 (H.264),8.7 MB,"6.7s, muted loop",Beer emoji animation,Delivered
Peer and Family,peer-and-family/burger,assets/img/peer-and-family/burger.mp4,video,2048 x 2048,mp4 (H.264),4.7 MB,"3.1s, muted loop",Burger emoji animation,Delivered
Peer and Family,peer-and-family/car,assets/img/peer-and-family/car.mp4,video,2048 x 2048,mp4 (H.264),10.7 MB,"5.8s, muted loop",Car emoji animation,Delivered
Peer and Family,peer-and-family/cat,assets/img/peer-and-family/cat.mp4,video,2048 x 2048,mp4 (H.264),6.2 MB,"4.1s, muted loop",Cat emoji animation,Delivered
Peer and Family,peer-and-family/croissant,assets/img/peer-and-family/croissant.mp4,video,2048 x 2048,mp4 (H.264),11.0 MB,"6.4s, muted loop",Croissant emoji animation,Delivered
Peer and Family,peer-and-family/star-background,assets/img/peer-and-family/star-background.mp4,video,2048 x 2048,mp4 (H.264),13.8 MB,"10s, muted loop",Star background animation,Delivered
Peer and Family,peer-and-family/family-gifts,assets/img/peer-and-family/family-gifts.mp4,video,1920 x 1920,mp4 (H.264),19.8 MB,"8.7s, muted loop — position 1. Heavy: consider compressing",Family gifts animation,Delivered
Peer and Family,peer-and-family/family-sweepstakes-puzzle,assets/img/peer-and-family/family-sweepstakes-puzzle.mp4,video,2000 x 2000,mp4 (H.264),5.3 MB,"3.8s, muted loop — position 2",Family sweepstakes puzzle animation,Delivered
Motion & Animation,motion-animation/alan-backpain,assets/img/alan/cut-backpain.mp4,video,1920 x 1080,mp4 (H.264),2.5 MB,"10s, has audio — player with controls",Alan cut — back pain,Delivered
Motion & Animation,motion-animation/alan-clear,assets/img/alan/cut-clear.mp4,video,1920 x 1080,mp4 (H.264),2.7 MB,"10s, has audio — player with controls",Alan cut — clear,Delivered
Motion & Animation,motion-animation/alan-move,assets/img/alan/cut-move.mp4,video,1920 x 1080,mp4 (H.264),3.0 MB,"2.6s, has audio — player with controls",Alan cut — move,Delivered
Motion & Animation,motion-animation/alan-nutrition,assets/img/alan/cut-nutrition.mp4,video,1920 x 1080,mp4 (H.264),11.3 MB,"5.7s, has audio — player with controls",Alan cut — nutrition,Delivered
Motion & Animation,motion-animation/finary-life-promo,assets/img/motion-animation/finary-life-promo.mp4,video,1000 x 542,mp4 (H.264),4.7 MB,"45.7s, has audio — player with controls (optimized)",Finary Life promo (motion graphics),Delivered
Motion & Animation,motion-animation/vigor-01,assets/img/motion-animation/vigor-01.mp4,video,1620 x 2880 (9:16),mp4 (H.264),12.7 MB,"19.7s, has audio — player with controls (optimized)",Vigor Peptides — video 1,Delivered
Motion & Animation,motion-animation/vigor-02,assets/img/motion-animation/vigor-02.mp4,video,1620 x 2880 (9:16),mp4 (H.264),5.3 MB,"17.9s, has audio — player with controls (optimized)",Vigor Peptides — video 2,Delivered
